gene_id,log2FoldChange,pvalue,padj
TMPRSS13,-4.755781007,2.8162007496789795e-30,8.804288403721393e-26
COL11A2,-3.442681438,6.267568841375778e-23,9.797150234396547e-19
ENSG00000284874,-3.063467188,1.2120640602678886e-20,1.2630919572051666e-16
MS4A10,8.44231484714398,1.5094991981687607e-19,1.1797868358087492e-15
GALNT3,-2.865257185,1.0744278962306177e-18,6.717967863971561e-15
BMP7,-5.911445563,5.694711479822629e-18,2.6128947118837965e-14
CTAG1B,8.18609220517597,5.850450367266921e-18,2.6128947118837965e-14
IDI2-AS1,-2.544280831,1.4866571886332208e-17,5.809670461030048e-14
SMIM32,-4.069485495,1.0504455018224815e-16,3.284007772347624e-13
GP1BB,-3.051226939,1.0306974119855439e-16,3.284007772347624e-13
ENSG00000240801,-3.980573482,2.316595769475738e-16,6.445238546727434e-13
WFDC21P,-4.060081273,2.4739424418875096e-16,6.445238546727434e-13
COL9A2,-2.983310706,3.3688785321885466e-16,8.101634580908502e-13
H19,-3.131323685,4.2997401898040973e-16,9.60162696813182e-13
ZG16,3.3866358605958773,6.082588636765539e-16,1.2677331236746736e-12
TSPAN1,-2.276815344,1.0588762291804073e-15,2.0040666571820793e-12
LRFN1,-1.580254634,1.0897589217955843e-15,2.0040666571820793e-12
ATP1A3,-2.795089984,1.5836644447371624e-15,2.750561196434328e-12
ERFL,-3.884624541,2.339738012907467e-15,3.838195968752098e-12
UPK3B,-3.004849751,2.455423963632471e-15,3.838195968752098e-12
VILL,-2.214869189,1.0555676859746315e-14,1.5000096621193137e-11
FABP5,-2.017973362,1.0476020856449886e-14,1.5000096621193137e-11
ENSG00000260092,3.8945589606306124,1.62784991718688e-14,2.212672693957106e-11
GPM6A,-3.333195156,1.8263081330888335e-14,2.3789946318648416e-11
KRT6B,-5.705263105,2.1537800807885845e-14,2.6933450666277406e-11
SLC4A3,-2.930638477,4.689702529167639e-14,5.0556610403230314e-11
FLICR,3.7403049906015053,4.386348678551988e-14,5.0556610403230314e-11
SEPTIN5,-2.055366191,4.5295253446018115e-14,5.0556610403230314e-11
LCTL,-2.585681651,4.571344335139071e-14,5.0556610403230314e-11
LINC01819,-3.816784457,6.087370155396413e-14,6.343648438938602e-11
KRT7,-3.229144589,6.819041841586629e-14,6.876893712694283e-11
FSTL1,-1.842360283,8.064552701143217e-14,7.878815971745011e-11
SYT9,4.1902735907801,1.0525746997439066e-13,9.971709950937501e-11
GATA3,-2.438516189,1.2327999545509902e-13,1.1335595582096354e-10
C2CD4B,-2.388814987,1.3618116981460846e-13,1.1911989837100444e-10
TFF3,-2.627953266,1.3716906059418993e-13,1.1911989837100444e-10
SELP,-2.684127625,1.4428462721512832e-13,1.2191271082774477e-10
FER1L4,-3.278862693,1.6106417763699902e-13,1.3250919435435526e-10
LAMA1,-3.956741966,1.8013645049427682e-13,1.4440015004621992e-10
SLC30A3,2.7416402778268094,2.2410526119727152e-13,1.751550695202575e-10
PADI1,3.7899155694887448,2.3921599098098177e-13,1.8240511039118129e-10
KCNH2,-3.95982369,3.193316590759314e-13,2.3769680137359155e-10
HBA2,2.2910914547399814,3.3200319738097576e-13,2.413817665051499e-10
TLR10,-2.453018794,4.079560903873834e-13,2.898620739495629e-10
GRM1,-4.140339977,6.035263631620957e-13,4.192898820341466e-10
ANO1,2.558158745342948,6.691354230518514e-13,4.547647984971746e-10
MPPED2,-2.21929076,8.489009484676382e-13,5.528997989988286e-10
ENKUR,2.5409461130187156,8.466826247088528e-13,5.528997989988286e-10
CH25H,-2.321263546,8.966243769062321e-13,5.720646509228477e-10
CFAP92,-2.515389041,1.042856729727904e-12,6.520565988296693e-10
ENSG00000307802,-3.653928314,1.1237273961416078e-12,6.888448938348055e-10
FOSB,-2.509307091,1.2069773929147322e-12,7.25648735282563e-10
CACHD1,-1.442477105,1.4154463225163927e-12,8.349263845439619e-10
KLK10,-6.378361586,1.8453773848685237e-12,1.0489460578753572e-09
IER3,-2.038337833,1.82255802469941e-12,1.0489460578753572e-09
ENSG00000279716,-2.029460595,2.213424632018174e-12,1.235683826264003e-09
NBAT1,-3.047636699,2.388440539296731e-12,1.3099967821058546e-09
CCDC25,0.854699340249449,2.560393396623249e-12,1.380096185493666e-09
RGL2,-1.182859447,3.0346987809779653e-12,1.608030304910409e-09
GABBR1,-2.19990934,3.2189572404392044e-12,1.6772376701308474e-09
ARHGAP40,-4.140339977,3.617408348825167e-12,1.8539514296610033e-09
B4GALNT4,-3.598786798,4.660868999275566e-12,2.350205605231484e-09
ELN,-2.165353892,5.669360929409818e-12,2.8133528688276053e-09
PODN,-2.282441253,6.484469706075204e-12,3.1675621315785794e-09
BACE2,-2.070323959,7.525038397000529e-12,3.61931192931427e-09
ENSG00000297065,-5.010681713,7.874256330043558e-12,3.7298920552447234e-09
CEMIP,-2.723516635,1.045044904431877e-11,4.876304305560264e-09
TMEM119,-2.351900431,1.0708575330373798e-11,4.9232675081393535e-09
SPNS3,-2.368799764,1.3327803327131696e-11,6.038653846610409e-09
CCDC184,-2.104004327,1.585468683406656e-11,7.080929635620327e-09
LINC00924,-1.789164613,1.9713305466509875e-11,8.680240405626735e-09
GLS2,2.8926931119435833,2.1168871242110044e-11,9.191700300584531e-09
PRELP,-2.293089986,2.1484751241337203e-11,9.201065452848288e-09
NGFR,-2.127924167,2.185275561808143e-11,9.2321986336227e-09
EPHB3,-2.19087415,2.4105838352622603e-11,1.0048277658907205e-08
RCAN2,-1.875305887,2.4505435538428404e-11,1.0080439884709041e-08
SPOCK1,2.703951269745616,2.674755944781278e-11,1.0859856506713909e-08
CATSPERG,-2.207941474,2.789237476998036e-11,1.1179478364537128e-08
